,cell,seurat
173,D29-1_2,7
174,D29-1_3,4
175,D29-1_6,3
176,D29-1_7,3
177,D29-1_8,1
178,D29-1_11,2
179,D29-1_12,4
180,D29-1_13,3
181,D29-1_15,4
182,D29-1_16,4
183,D29-1_17,3
184,D29-1_18,3
185,D29-1_19,2
186,D29-1_20,2
187,D29-1_21,1
188,D29-1_24,1
189,D29-1_26,3
190,D29-1_27,2
191,D29-1_29,3
192,D29-1_30,4
193,D29-1_32,2
194,D29-1_33,4
195,D29-1_34,2
196,D29-1_35,4
197,D29-1_36,1
198,D29-1_37,2
199,D29-1_38,3
200,D29-1_39,3
201,D29-1_40,1
202,D29-1_41,2
203,D29-1_42,4
204,D29-1_44,2
205,D29-1_45,4
206,D29-1_46,2
207,D29-1_47,2
208,D29-1_48,1
209,D29-1_49,4
210,D29-1_50,2
211,D29-1_51,2
212,D29-1_52,1
213,D29-1_53,1
214,D29-1_54,6
215,D29-1_55,2
216,D29-1_56,4
217,D29-1_57,4
218,D29-1_58,4
219,D29-1_59,2
220,D29-1_60,2
221,D29-1_61,7
222,D29-1_62,3
223,D29-1_65,6
224,D29-1_66,4
225,D29-1_67,4
226,D29-1_68,5
227,D29-1_69,2
228,D29-1_70,1
229,D29-1_71,4
230,D29-1_72,4
231,D29-1_73,4
232,D29-1_74,4
233,D29-1_75,1
234,D29-1_76,2
235,D29-1_77,1
236,D29-1_78,1
237,D29-1_79,1
238,D29-1_80,2
239,D29-1_81,1
240,D29-1_82,1
241,D29-1_83,4
242,D29-1_84,1
243,D29-1_86,4
244,D29-1_87,3
245,D29-1_88,1
246,D29-1_89,2
247,D29-1_90,4
248,D29-1_92,1
249,D29-1_93,4
250,D29-1_94,1
251,D29-2_1,7
252,D29-2_3,2
253,D29-2_4,4
254,D29-2_5,1
255,D29-2_6,2
256,D29-2_7,6
257,D29-2_8,2
258,D29-2_9,4
259,D29-2_10,4
260,D29-2_11,1
261,D29-2_12,6
262,D29-2_13,2
263,D29-2_15,3
264,D29-2_16,4
265,D29-2_18,1
266,D29-2_19,4
267,D29-2_20,1
268,D29-2_22,2
269,D29-2_24,4
270,D29-2_25,3
271,D29-2_26,1
272,D29-2_27,1
273,D29-2_28,2
274,D29-2_30,1
275,D29-2_31,3
276,D29-2_33,2
277,D29-2_34,4
278,D29-2_35,3
279,D29-2_37,2
280,D29-2_38,2
281,D29-2_39,2
282,D29-2_41,2
283,D29-2_42,4
284,D29-2_43,4
285,D29-2_45,2
286,D29-2_46,4
287,D29-2_47,4
288,D29-2_48,2
289,D29-2_49,7
290,D29-2_50,1
291,D29-2_51,2
292,D29-2_52,2
293,D29-2_53,1
294,D29-2_54,1
295,D29-2_56,1
296,D29-2_57,6
297,D29-2_58,4
298,D29-2_59,4
299,D29-2_60,1
300,D29-2_61,6
301,D29-2_62,1
302,D29-2_63,6
303,D29-2_64,4
304,D29-2_65,6
305,D29-2_66,1
306,D29-2_67,2
307,D29-2_68,4
308,D29-2_69,2
309,D29-2_70,1
310,D29-2_71,2
311,D29-2_72,1
312,D29-2_74,3
313,D29-2_75,2
314,D29-2_76,3
315,D29-2_78,4
316,D29-2_79,1
317,D29-2_80,1
318,D29-2_81,1
319,D29-2_82,4
320,D29-2_84,2
321,D29-2_87,4
322,D29-2_88,6
323,D29-2_89,1
324,D29-2_90,3
325,D29-2_91,2
326,D29-2_92,4
327,D29-2_93,2
328,D29-2_94,3
329,D29-3_1,4
330,D29-3_3,3
331,D29-3_5,1
332,D29-3_6,5
333,D29-3_7,1
334,D29-3_8,4
335,D29-3_9,4
336,D29-3_11,4
337,D29-3_12,6
338,D29-3_13,4
339,D29-3_15,4
340,D29-3_16,4
341,D29-3_17,6
342,D29-3_18,3
343,D29-3_21,1
344,D29-3_22,3
345,D29-3_23,1
346,D29-3_24,1
347,D29-3_25,3
348,D29-3_28,1
349,D29-3_29,2
350,D29-3_30,3
351,D29-3_31,3
352,D29-3_32,4
353,D29-3_33,2
354,D29-3_34,2
355,D29-3_36,1
356,D29-3_37,1
357,D29-3_38,2
358,D29-3_39,1
359,D29-3_40,3
360,D29-3_42,2
361,D29-3_43,4
362,D29-3_44,4
363,D29-3_45,4
364,D29-3_48,1
365,D29-3_49,2
366,D29-3_50,6
367,D29-3_51,1
368,D29-3_52,1
369,D29-3_53,3
370,D29-3_54,2
371,D29-3_56,2
372,D29-3_57,4
373,D29-3_58,4
374,D29-3_59,1
375,D29-3_60,3
376,D29-3_61,1
377,D29-3_64,1
378,D29-3_66,2
379,D29-3_68,4
380,D29-3_69,4
381,D29-3_71,4
382,D29-3_72,3
383,D29-3_73,7
384,D29-3_74,2
385,D29-3_76,2
386,D29-3_77,2
387,D29-3_78,1
388,D29-3_79,3
389,D29-3_81,2
390,D29-3_82,4
391,D29-3_83,1
392,D29-3_84,3
393,D29-3_85,4
394,D29-3_86,1
395,D29-3_87,1
396,D29-3_92,2
397,D29-3_93,3
398,D29-3_94,1
399,D29-4_2,3
400,D29-4_3,4
401,D29-4_4,4
402,D29-4_5,3
403,D29-4_6,4
404,D29-4_8,7
405,D29-4_9,3
406,D29-4_12,3
407,D29-4_13,3
408,D29-4_15,3
409,D29-4_16,3
410,D29-4_17,4
411,D29-4_18,3
412,D29-4_19,1
413,D29-4_20,4
414,D29-4_22,3
415,D29-4_23,1
416,D29-4_25,3
417,D29-4_26,3
418,D29-4_27,1
419,D29-4_28,3
420,D29-4_29,3
421,D29-4_30,3
422,D29-4_31,1
423,D29-4_33,3
424,D29-4_34,3
425,D29-4_35,3
426,D29-4_38,3
427,D29-4_39,1
428,D29-4_41,4
429,D29-4_42,1
430,D29-4_43,4
431,D29-4_44,1
432,D29-4_45,6
433,D29-4_46,2
434,D29-4_47,6
435,D29-4_48,4
436,D29-4_49,2
437,D29-4_50,2
438,D29-4_51,2
439,D29-4_52,1
440,D29-4_53,2
441,D29-4_55,2
442,D29-4_56,3
443,D29-4_57,2
444,D29-4_58,3
445,D29-4_59,1
446,D29-4_60,2
447,D29-4_61,2
448,D29-4_62,2
449,D29-4_63,4
450,D29-4_64,4
451,D29-4_65,3
452,D29-4_66,2
453,D29-4_67,1
454,D29-4_68,2
455,D29-4_70,2
456,D29-4_72,3
457,D29-4_73,1
458,D29-4_74,3
459,D29-4_75,3
460,D29-4_77,3
461,D29-4_79,1
462,D29-4_80,3
463,D29-4_81,4
464,D29-4_82,7
465,D29-4_83,4
466,D29-4_84,4
467,D29-4_85,3
468,D29-4_86,4
469,D29-4_88,1
470,D29-4_90,4
471,D29-4_92,1
472,D29-4_93,2
473,D29-4_94,1
474,D29-5_3,2
475,D29-5_6,4
476,D29-5_8,3
477,D29-5_10,1
478,D29-5_11,2
479,D29-5_12,1
480,D29-5_14,1
481,D29-5_17,3
482,D29-5_18,2
483,D29-5_19,2
484,D29-5_20,1
485,D29-5_21,1
486,D29-5_22,1
487,D29-5_23,1
488,D29-5_24,3
489,D29-5_30,1
490,D29-5_31,3
491,D29-5_32,4
492,D29-5_33,2
493,D29-5_34,1
494,D29-5_35,2
495,D29-5_36,4
496,D29-5_37,1
497,D29-5_39,3
498,D29-5_40,1
499,D29-5_43,2
500,D29-5_44,3
501,D29-5_46,2
502,D29-5_47,4
503,D29-5_48,1
504,D29-5_49,2
505,D29-5_51,4
506,D29-5_52,1
507,D29-5_53,1
508,D29-5_54,2
509,D29-5_55,1
510,D29-5_56,2
511,D29-5_57,3
512,D29-5_58,1
513,D29-5_59,2
514,D29-5_60,1
515,D29-5_61,1
516,D29-5_62,1
517,D29-5_63,1
518,D29-5_64,6
519,D29-5_65,2
520,D29-5_66,4
521,D29-5_67,4
522,D29-5_68,2
523,D29-5_69,1
524,D29-5_70,1
525,D29-5_71,2
526,D29-5_73,5
527,D29-5_75,3
528,D29-5_76,4
529,D29-5_77,4
530,D29-5_78,5
531,D29-5_82,2
532,D29-5_83,4
533,D29-5_86,1
534,D29-5_87,2
535,D29-5_89,6
536,D29-5_91,1
537,D29-5_92,2
538,D29-6_1,3
539,D29-6_3,1
540,D29-6_4,4
541,D29-6_6,4
542,D29-6_8,2
543,D29-6_9,4
544,D29-6_10,4
545,D29-6_11,4
546,D29-6_16,1
547,D29-6_17,3
548,D29-6_19,2
549,D29-6_21,2
550,D29-6_22,4
551,D29-6_24,2
552,D29-6_26,3
553,D29-6_27,3
554,D29-6_28,1
555,D29-6_29,3
556,D29-6_30,4
557,D29-6_32,1
558,D29-6_33,4
559,D29-6_34,2
560,D29-6_38,2
561,D29-6_39,1
562,D29-6_40,3
563,D29-6_41,2
564,D29-6_42,1
565,D29-6_43,1
566,D29-6_44,4
567,D29-6_46,4
568,D29-6_48,2
569,D29-6_50,1
570,D29-6_51,3
571,D29-6_52,3
572,D29-6_53,2
573,D29-6_54,3
574,D29-6_55,4
575,D29-6_56,1
576,D29-6_57,2
577,D29-6_58,3
578,D29-6_59,1
579,D29-6_60,2
580,D29-6_62,1
581,D29-6_63,4
582,D29-6_64,2
583,D29-6_65,2
584,D29-6_66,4
585,D29-6_67,1
586,D29-6_69,2
587,D29-6_70,1
588,D29-6_72,1
589,D29-6_77,1
590,D29-6_78,2
591,D29-6_79,1
592,D29-6_80,1
593,D29-6_82,2
594,D29-6_84,3
595,D29-6_86,3
596,D29-6_87,4
597,D29-6_88,4
598,D29-6_89,2
599,D29-6_90,3
600,D29-6_91,2
601,D29-6_94,3
602,D29-7_1,2
603,D29-7_2,1
604,D29-7_3,1
605,D29-7_4,4
606,D29-7_5,5
607,D29-7_6,3
608,D29-7_8,4
609,D29-7_12,1
610,D29-7_14,1
611,D29-7_17,1
612,D29-7_18,7
613,D29-7_19,4
614,D29-7_20,6
615,D29-7_21,4
616,D29-7_23,4
617,D29-7_25,3
618,D29-7_28,4
619,D29-7_30,4
620,D29-7_31,1
621,D29-7_32,3
622,D29-7_33,3
623,D29-7_34,4
624,D29-7_35,4
625,D29-7_36,4
626,D29-7_37,1
627,D29-7_38,3
628,D29-7_39,1
629,D29-7_40,4
630,D29-7_41,1
631,D29-7_42,1
632,D29-7_43,2
633,D29-7_44,3
634,D29-7_45,1
635,D29-7_46,2
636,D29-7_47,2
637,D29-7_48,1
638,D29-7_49,5
639,D29-7_50,2
640,D29-7_51,2
641,D29-7_52,1
642,D29-7_54,4
643,D29-7_55,3
644,D29-7_56,2
645,D29-7_57,2
646,D29-7_58,1
647,D29-7_59,2
648,D29-7_60,4
649,D29-7_61,4
650,D29-7_62,1
651,D29-7_63,4
652,D29-7_64,2
653,D29-7_65,2
654,D29-7_68,1
655,D29-7_69,1
656,D29-7_70,2
657,D29-7_71,4
658,D29-7_72,2
659,D29-7_73,3
660,D29-7_74,1
661,D29-7_75,1
662,D29-7_76,2
663,D29-7_77,4
664,D29-7_78,4
665,D29-7_79,4
666,D29-7_80,2
667,D29-7_81,4
668,D29-7_82,2
669,D29-7_84,2
670,D29-7_85,2
671,D29-7_86,1
672,D29-7_87,1
673,D29-7_89,4
674,D29-7_90,3
675,D29-7_92,2
676,D29-7_93,4
677,D29-7_94,4
678,D29-8_2,3
679,D29-8_4,7
680,D29-8_7,3
681,D29-8_8,1
682,D29-8_10,4
683,D29-8_11,1
684,D29-8_12,1
685,D29-8_13,4
686,D29-8_14,3
687,D29-8_15,4
688,D29-8_18,3
689,D29-8_19,4
690,D29-8_20,3
691,D29-8_23,1
692,D29-8_24,3
693,D29-8_25,3
694,D29-8_27,3
695,D29-8_29,3
696,D29-8_30,3
697,D29-8_32,3
698,D29-8_33,3
699,D29-8_34,1
700,D29-8_35,3
701,D29-8_37,3
702,D29-8_39,3
703,D29-8_40,3
704,D29-8_43,4
705,D29-8_45,3
706,D29-8_46,4
707,D29-8_48,4
708,D29-8_49,1
709,D29-8_50,1
710,D29-8_51,2
711,D29-8_52,7
712,D29-8_54,4
713,D29-8_55,3
714,D29-8_56,3
715,D29-8_59,3
716,D29-8_60,2
717,D29-8_62,4
718,D29-8_63,6
719,D29-8_64,3
720,D29-8_65,2
721,D29-8_66,3
722,D29-8_67,7
723,D29-8_68,4
724,D29-8_72,4
725,D29-8_73,4
726,D29-8_74,1
727,D29-8_75,6
728,D29-8_76,3
729,D29-8_77,2
730,D29-8_79,4
731,D29-8_80,4
732,D29-8_81,4
733,D29-8_82,2
734,D29-8_83,4
735,D29-8_84,2
736,D29-8_86,1
737,D29-8_87,1
738,D29-8_88,6
739,D29-8_90,1
740,D29-8_91,1
741,D29-8_94,1
742,D31-1_1,1
743,D31-1_2,2
744,D31-1_4,2
745,D31-1_5,5
746,D31-1_6,4
747,D31-1_7,5
748,D31-1_8,3
749,D31-1_9,5
750,D31-1_10,1
751,D31-1_11,5
752,D31-1_12,6
753,D31-1_14,1
754,D31-1_15,4
755,D31-1_16,6
756,D31-1_17,2
757,D31-1_19,5
758,D31-1_20,1
759,D31-1_21,5
760,D31-1_22,5
761,D31-1_23,7
762,D31-1_24,3
763,D31-1_25,5
764,D31-1_27,5
765,D31-1_28,1
766,D31-1_29,1
767,D31-1_31,3
768,D31-1_32,3
769,D31-1_33,4
770,D31-1_34,1
771,D31-1_35,3
772,D31-1_36,7
773,D31-1_38,1
774,D31-1_40,3
775,D31-1_41,7
776,D31-1_42,3
777,D31-1_43,3
778,D31-1_44,5
779,D31-1_45,5
780,D31-1_46,2
781,D31-1_47,1
782,D31-1_48,5
783,D31-1_49,3
784,D31-1_50,6
785,D31-1_51,5
786,D31-1_52,3
787,D31-1_53,1
788,D31-1_54,1
789,D31-1_55,6
790,D31-1_56,1
791,D31-1_58,5
792,D31-1_59,2
793,D31-1_60,2
794,D31-1_61,3
795,D31-1_62,6
796,D31-1_63,1
797,D31-1_64,2
798,D31-1_65,4
799,D31-1_66,2
800,D31-1_67,2
801,D31-1_68,1
802,D31-1_69,2
803,D31-1_70,5
804,D31-1_72,6
805,D31-1_73,1
806,D31-1_74,1
807,D31-1_75,2
808,D31-1_76,6
809,D31-1_77,6
810,D31-1_78,2
811,D31-1_79,4
812,D31-1_80,4
813,D31-1_81,4
814,D31-1_82,6
815,D31-1_83,6
816,D31-1_84,6
817,D31-1_85,2
818,D31-1_86,1
819,D31-1_87,2
820,D31-1_88,5
821,D31-1_89,2
822,D31-1_90,6
823,D31-1_91,2
824,D31-1_92,2
825,D31-1_93,6
826,D31-2_1,1
827,D31-2_2,2
828,D31-2_3,1
829,D31-2_4,7
830,D31-2_5,4
831,D31-2_6,5
832,D31-2_7,3
833,D31-2_9,2
834,D31-2_10,6
835,D31-2_11,3
836,D31-2_12,4
837,D31-2_13,3
838,D31-2_14,3
839,D31-2_15,5
840,D31-2_17,6
841,D31-2_18,5
842,D31-2_19,7
843,D31-2_20,6
844,D31-2_21,6
845,D31-2_22,3
846,D31-2_23,1
847,D31-2_24,7
848,D31-2_26,5
849,D31-2_27,1
850,D31-2_28,1
851,D31-2_29,4
852,D31-2_30,5
853,D31-2_32,3
854,D31-2_33,3
855,D31-2_34,1
856,D31-2_35,6
857,D31-2_36,4
858,D31-2_37,6
859,D31-2_38,5
860,D31-2_39,2
861,D31-2_40,6
862,D31-2_41,6
863,D31-2_43,1
864,D31-2_44,3
865,D31-2_45,2
866,D31-2_46,1
867,D31-2_47,1
868,D31-2_48,1
869,D31-2_49,1
870,D31-2_50,3
871,D31-2_52,1
872,D31-2_53,5
873,D31-2_54,6
874,D31-2_55,4
875,D31-2_56,2
876,D31-2_57,3
877,D31-2_58,1
878,D31-2_59,6
879,D31-2_60,4
880,D31-2_61,5
881,D31-2_62,6
882,D31-2_63,2
883,D31-2_64,2
884,D31-2_65,1
885,D31-2_66,1
886,D31-2_67,2
887,D31-2_68,6
888,D31-2_69,5
889,D31-2_70,4
890,D31-2_71,1
891,D31-2_72,1
892,D31-2_73,6
893,D31-2_74,3
894,D31-2_75,5
895,D31-2_76,6
896,D31-2_77,6
897,D31-2_78,6
898,D31-2_79,4
899,D31-2_80,7
900,D31-2_81,3
901,D31-2_82,2
902,D31-2_83,5
903,D31-2_84,6
904,D31-2_85,7
905,D31-2_86,5
906,D31-2_87,5
907,D31-2_89,3
908,D31-2_91,7
909,D31-2_92,1
910,D31-2_93,3
911,D31-2_94,6
912,D31-3_1,5
913,D31-3_2,3
914,D31-3_3,3
915,D31-3_4,1
916,D31-3_5,3
917,D31-3_10,1
918,D31-3_12,6
919,D31-3_13,3
920,D31-3_14,5
921,D31-3_15,7
922,D31-3_16,4
923,D31-3_17,1
924,D31-3_18,3
925,D31-3_19,3
926,D31-3_21,6
927,D31-3_22,4
928,D31-3_23,5
929,D31-3_24,3
930,D31-3_25,5
931,D31-3_26,5
932,D31-3_27,3
933,D31-3_28,3
934,D31-3_29,3
935,D31-3_30,4
936,D31-3_31,1
937,D31-3_32,3
938,D31-3_33,1
939,D31-3_35,3
940,D31-3_36,5
941,D31-3_37,6
942,D31-3_38,3
943,D31-3_39,3
944,D31-3_40,5
945,D31-3_41,4
946,D31-3_42,4
947,D31-3_43,1
948,D31-3_45,3
949,D31-3_46,2
950,D31-3_47,5
951,D31-3_48,5
952,D31-3_50,1
953,D31-3_52,3
954,D31-3_53,5
955,D31-3_54,4
956,D31-3_55,3
957,D31-3_56,4
958,D31-3_57,3
959,D31-3_59,7
960,D31-3_60,5
961,D31-3_61,4
962,D31-3_62,4
963,D31-3_63,5
964,D31-3_64,5
965,D31-3_65,6
966,D31-3_66,1
967,D31-3_67,4
968,D31-3_68,1
969,D31-3_69,5
970,D31-3_70,3
971,D31-3_72,4
972,D31-3_73,5
973,D31-3_75,1
974,D31-3_76,2
975,D31-3_77,4
976,D31-3_78,5
977,D31-3_79,3
978,D31-3_80,1
979,D31-3_81,6
980,D31-3_82,6
981,D31-3_83,1
982,D31-3_84,3
983,D31-3_85,2
984,D31-3_86,5
985,D31-3_87,1
986,D31-3_88,4
987,D31-3_89,5
988,D31-3_90,2
989,D31-3_92,1
990,D31-3_94,2
991,D31-4_1,2
992,D31-4_2,4
993,D31-4_4,4
994,D31-4_5,2
995,D31-4_6,3
996,D31-4_7,3
997,D31-4_8,4
998,D31-4_9,5
999,D31-4_10,1
1000,D31-4_11,3
1001,D31-4_13,5
1002,D31-4_14,5
1003,D31-4_15,4
1004,D31-4_16,7
1005,D31-4_17,1
1006,D31-4_18,3
1007,D31-4_19,1
1008,D31-4_20,2
1009,D31-4_21,1
1010,D31-4_22,3
1011,D31-4_23,2
1012,D31-4_24,2
1013,D31-4_25,1
1014,D31-4_26,3
1015,D31-4_27,2
1016,D31-4_28,4
1017,D31-4_29,2
1018,D31-4_30,3
1019,D31-4_31,3
1020,D31-4_32,3
1021,D31-4_33,6
1022,D31-4_34,1
1023,D31-4_35,6
1024,D31-4_36,5
1025,D31-4_38,6
1026,D31-4_39,1
1027,D31-4_40,4
1028,D31-4_41,5
1029,D31-4_42,2
1030,D31-4_43,5
1031,D31-4_44,1
1032,D31-4_45,1
1033,D31-4_46,4
1034,D31-4_47,2
1035,D31-4_48,5
1036,D31-4_49,1
1037,D31-4_50,2
1038,D31-4_51,1
1039,D31-4_52,2
1040,D31-4_53,2
1041,D31-4_54,2
1042,D31-4_55,5
1043,D31-4_56,6
1044,D31-4_57,6
1045,D31-4_58,1
1046,D31-4_59,2
1047,D31-4_60,4
1048,D31-4_61,2
1049,D31-4_62,4
1050,D31-4_63,1
1051,D31-4_64,1
1052,D31-4_65,1
1053,D31-4_66,1
1054,D31-4_67,7
1055,D31-4_68,6
1056,D31-4_69,6
1057,D31-4_70,5
1058,D31-4_71,6
1059,D31-4_72,5
1060,D31-4_73,6
1061,D31-4_74,1
1062,D31-4_75,1
1063,D31-4_76,6
1064,D31-4_77,6
1065,D31-4_78,4
1066,D31-4_79,5
1067,D31-4_80,2
1068,D31-4_82,1
1069,D31-4_83,1
1070,D31-4_84,2
1071,D31-4_85,1
1072,D31-4_87,2
1073,D31-4_89,3
1074,D31-4_90,5
1075,D31-4_91,5
1076,D31-4_92,1
1077,D31-4_93,5
1078,D31-4_94,1
1079,D31-5_1,5
1080,D31-5_2,3
1081,D31-5_3,1
1082,D31-5_4,5
1083,D31-5_5,1
1084,D31-5_8,3
1085,D31-5_9,1
1086,D31-5_10,3
1087,D31-5_11,3
1088,D31-5_12,3
1089,D31-5_13,6
1090,D31-5_14,6
1091,D31-5_15,1
1092,D31-5_16,5
1093,D31-5_17,3
1094,D31-5_18,4
1095,D31-5_19,6
1096,D31-5_20,3
1097,D31-5_21,3
1098,D31-5_22,1
1099,D31-5_23,4
1100,D31-5_24,3
1101,D31-5_25,3
1102,D31-5_26,1
1103,D31-5_27,1
1104,D31-5_29,1
1105,D31-5_30,1
1106,D31-5_32,1
1107,D31-5_33,3
1108,D31-5_34,5
1109,D31-5_35,3
1110,D31-5_36,3
1111,D31-5_37,6
1112,D31-5_38,1
1113,D31-5_39,5
1114,D31-5_41,6
1115,D31-5_42,4
1116,D31-5_44,2
1117,D31-5_45,5
1118,D31-5_46,4
1119,D31-5_47,7
1120,D31-5_48,5
1121,D31-5_49,2
1122,D31-5_50,3
1123,D31-5_51,6
1124,D31-5_52,1
1125,D31-5_53,3
1126,D31-5_54,3
1127,D31-5_55,4
1128,D31-5_57,5
1129,D31-5_58,3
1130,D31-5_59,3
1131,D31-5_60,5
1132,D31-5_61,1
1133,D31-5_62,2
1134,D31-5_63,3
1135,D31-5_64,6
1136,D31-5_65,6
1137,D31-5_66,2
1138,D31-5_67,2
1139,D31-5_68,3
1140,D31-5_69,5
1141,D31-5_70,5
1142,D31-5_71,4
1143,D31-5_72,7
1144,D31-5_73,6
1145,D31-5_74,1
1146,D31-5_75,5
1147,D31-5_76,3
1148,D31-5_77,7
1149,D31-5_78,7
1150,D31-5_80,1
1151,D31-5_81,6
1152,D31-5_82,7
1153,D31-5_83,7
1154,D31-5_84,4
1155,D31-5_85,1
1156,D31-5_86,3
1157,D31-5_87,2
1158,D31-5_88,3
1159,D31-5_89,5
1160,D31-5_90,3
1161,D31-5_91,6
1162,D31-5_92,5
1163,D31-5_93,3
1164,D31-5_94,1
1165,D31-6_1,7
1166,D31-6_2,3
1167,D31-6_4,6
1168,D31-6_5,4
1169,D31-6_6,7
1170,D31-6_7,1
1171,D31-6_9,5
1172,D31-6_10,3
1173,D31-6_11,5
1174,D31-6_12,4
1175,D31-6_13,5
1176,D31-6_15,1
1177,D31-6_16,1
1178,D31-6_18,3
1179,D31-6_19,1
1180,D31-6_20,1
1181,D31-6_21,5
1182,D31-6_22,1
1183,D31-6_23,7
1184,D31-6_24,5
1185,D31-6_25,4
1186,D31-6_27,6
1187,D31-6_28,6
1188,D31-6_29,5
1189,D31-6_30,3
1190,D31-6_31,1
1191,D31-6_32,4
1192,D31-6_33,5
1193,D31-6_34,6
1194,D31-6_35,3
1195,D31-6_36,3
1196,D31-6_37,6
1197,D31-6_38,4
1198,D31-6_39,5
1199,D31-6_40,5
1200,D31-6_41,6
1201,D31-6_42,1
1202,D31-6_43,5
1203,D31-6_44,6
1204,D31-6_45,3
1205,D31-6_46,4
1206,D31-6_47,1
1207,D31-6_48,2
1208,D31-6_49,1
1209,D31-6_50,6
1210,D31-6_51,6
1211,D31-6_52,5
1212,D31-6_53,5
1213,D31-6_54,3
1214,D31-6_55,3
1215,D31-6_56,2
1216,D31-6_57,7
1217,D31-6_58,1
1218,D31-6_59,3
1219,D31-6_61,5
1220,D31-6_62,5
1221,D31-6_63,3
1222,D31-6_64,3
1223,D31-6_65,1
1224,D31-6_66,5
1225,D31-6_67,1
1226,D31-6_68,6
1227,D31-6_69,5
1228,D31-6_70,7
1229,D31-6_71,4
1230,D31-6_72,6
1231,D31-6_73,7
1232,D31-6_74,3
1233,D31-6_75,5
1234,D31-6_76,1
1235,D31-6_77,3
1236,D31-6_79,6
1237,D31-6_80,1
1238,D31-6_81,5
1239,D31-6_82,6
1240,D31-6_83,3
1241,D31-6_84,7
1242,D31-6_85,1
1243,D31-6_86,5
1244,D31-6_87,1
1245,D31-6_88,3
1246,D31-6_89,3
1247,D31-6_90,3
1248,D31-6_91,3
